names,ethnicities
ABRAMS NEIL,else
ADAMS JR RUSSELL E,else
ALBRECHT DENNIS,german
ALBRITTON CLARENCE,british
ALVO MARC S,spanish
ANDERSON BRUCE C,zimbabwean
ANDERSON GERALD A,else
ANDERSON HAROLD,german
ANDREWS MELVYN J,else
ANSHER BERNARD,french
APLEY RICHARD J,british
ARBES CARL J,british
ARGENBRIGHT TONY MICHAEL,zimbabwean
ARNOLD BRUCE,british
AROLA DAVE W,else
ASCHENBRENNER PETER,german
ATKINSON CHARLES,zimbabwean
BRADLEY PAULA A,else
AVILA STEPHEN P,zimbabwean
BALDWIN ROBERT D,german
BALL MICHAEL W,swedish
BAREFOOT GALEN L,else
BARR JOSEPHINE,else
BARRETT LEE E,else
BARTIS ANTHONY,else
BARTUSKA FRANCIS JOHN,british
BARTZ CLIFFORD T,swedish
BASCOMB JR WILBUR,british
BASINGER SHERMAN D,chinese
BATTEN JR J REED,else
BECK SHRIVE,british
BEHA JR WILLIAM,pakistani
BEHREND HARVEY E,dutch
BELL HELEN,british
BELL JAMES J,zimbabwean
BELL JANYCE A,else
BELL MARK LEE,british
BELL PAUL A,else
BENNETT HENRY A,else
BENTLEY STEPHEN,british
BERCH MARK L,danish
BERGMANN SAUL,german
BERMAN JACK I,else
BERNSTEIN HIRAM H,else
BERTSCH RICHARD A,german
BILINSKY ZENON,russian
BLEUTGE JOHN,nigerian
BLUM THEODORE M,danish
BOAS GAIL M,else
BOLAND LOIS E,dutch
BONCK RODNEY H,else
BOND ROBERT,else
BOOKBINDER MARC E,else
BOUDREAU LEO H,french
BOVERNICK RODNEY B,zimbabwean
BOWERS JR CHARLES L,zimbabwean
BRAHAN THOMAS J,british
BRAMMER JACK,german
BRATLIE STEVEN A,nigerian
BRAUN FRED L,german
BRAUN LESLIE ALLEN,british
BRAY WAYMOND D,dutch
BRIGGS SR WILBERT,german
BRIGGS WILLIAM R,german
BRITTON HOWARD W,british
BRITTS RAMON S,swedish
BROCK DORIS,greek
BROOME HAROLD,british
BROWN DAVID,british
FORD JANICE M,else
BROWN JOHNNIE,british
BROWN MURIEL ANN,british
BROWN THEATRICE,british
BROWN THOMAS,british
BRUST JOSEPH,indian
BRYANT III JAMES E,else
BUCZINSKI STEPHEN C,british
BUDD MARK OSBORNE,danish
BUEKER RICHARD R,german
BUFFALOW EDITH,nigerian
BUIZ MIKADO RYAN,swedish
BULLOCK BARBARA J,dutch
BURKE WALLACE,german
BURR EDGAR S,dutch
BUTLER DOUGLAS C,british
CALDAROLA GLENN A,british
CANGIALOSI SALVATORE A,italian
CANNEY VINCENT P,zimbabwean
CANNON JAMES,british
CAPOSSELA RONALD C,italian
CARDILLO JR RAYMOND,dutch
CAROFF MARC L,french
CARROLL JAMES J,british
CASAREGOLA LOUIS J,dutch
CHAMBERS A MICHAEL,else
CHAN EDDIE P,else
CHAN NICKY,else
