names,ethnicities
ABRAMS NEIL,south african
ADAMS JR RUSSELL E,bangladeshi
ALBRECHT DENNIS,german
ALBRITTON CLARENCE,british
ALVO MARC S,spanish
ANDERSON BRUCE C,chinese
ANDERSON GERALD A,filipino
ANDERSON HAROLD,south african
ANDREWS MELVYN J,danish
ANSHER BERNARD,south african
APLEY RICHARD J,chinese
ARBES CARL J,filipino
ARGENBRIGHT TONY MICHAEL,south african
ARNOLD BRUCE,british
AROLA DAVE W,nigerian
ASCHENBRENNER PETER,south african
ATKINSON CHARLES,nigerian
BRADLEY PAULA A,filipino
AVILA STEPHEN P,swedish
BALDWIN ROBERT D,chinese
BALL MICHAEL W,swedish
BAREFOOT GALEN L,danish
BARR JOSEPHINE,british
BARRETT LEE E,british
BARTIS ANTHONY,nigerian
BARTUSKA FRANCIS JOHN,nigerian
BARTZ CLIFFORD T,chinese
BASCOMB JR WILBUR,south african
BASINGER SHERMAN D,swedish
BATTEN JR J REED,british
BECK SHRIVE,british
BEHA JR WILLIAM,danish
BEHREND HARVEY E,chinese
BELL HELEN,norwegian
BELL JAMES J,chinese
BELL JANYCE A,filipino
BELL MARK LEE,south african
BELL PAUL A,filipino
BENNETT HENRY A,filipino
BENTLEY STEPHEN,south african
BERCH MARK L,chinese
BERGMANN SAUL,german
BERMAN JACK I,filipino
BERNSTEIN HIRAM H,norwegian
BERTSCH RICHARD A,danish
BILINSKY ZENON,filipino
BLEUTGE JOHN,indian
BLUM THEODORE M,dutch
BOAS GAIL M,spanish
BOLAND LOIS E,dutch
BONCK RODNEY H,chinese
BOND ROBERT,south african
BOOKBINDER MARC E,dutch
BOUDREAU LEO H,french
BOVERNICK RODNEY B,swedish
BOWERS JR CHARLES L,british
BRAHAN THOMAS J,chinese
BRAMMER JACK,german
BRATLIE STEVEN A,british
BRAUN FRED L,german
BRAUN LESLIE ALLEN,norwegian
BRAY WAYMOND D,chinese
BRIGGS SR WILBERT,british
BRIGGS WILLIAM R,british
BRITTON HOWARD W,south african
BRITTS RAMON S,british
BROCK DORIS,belgian
BROOME HAROLD,south african
BROWN DAVID,filipino
FORD JANICE M,south african
BROWN JOHNNIE,south african
BROWN MURIEL ANN,british
BROWN THEATRICE,british
BROWN THOMAS,south african
BRUST JOSEPH,south african
BRYANT III JAMES E,chinese
BUCZINSKI STEPHEN C,turkish
BUDD MARK OSBORNE,british
