last,first,middle,id,names
ABRAMS,NEIL,,72767,ABRAMS NEIL
ADAMS JR,RUSSELL,E,61883,ADAMS JR RUSSELL E
ALBRECHT,DENNIS,,87935,ALBRECHT DENNIS
ALBRITTON,CLARENCE,,99141,ALBRITTON CLARENCE
ALVO,MARC,S,86617,ALVO MARC S
ANDERSON,BRUCE,C,72752,ANDERSON BRUCE C
ANDERSON,GERALD,A,95615,ANDERSON GERALD A
ANDERSON,HAROLD,,94405,ANDERSON HAROLD
ANDREWS,MELVYN,J,97764,ANDREWS MELVYN J
ANSHER,BERNARD,,59482,ANSHER BERNARD
APLEY,RICHARD,J,67339,APLEY RICHARD J
ARBES,CARL,J,71057,ARBES CARL J
ARGENBRIGHT,TONY,MICHAEL,97525,ARGENBRIGHT TONY MICHAEL
ARNOLD,BRUCE,,91680,ARNOLD BRUCE
AROLA,DAVE,W,57808,AROLA DAVE W
ASCHENBRENNER,PETER,,57540,ASCHENBRENNER PETER
ATKINSON,CHARLES,,78715,ATKINSON CHARLES
BRADLEY,PAULA,A,64065,BRADLEY PAULA A
AVILA,STEPHEN,P,73423,AVILA STEPHEN P
BALDWIN,ROBERT,D,90973,BALDWIN ROBERT D
BALL,MICHAEL,W,99632,BALL MICHAEL W
BAREFOOT,GALEN,L,66219,BAREFOOT GALEN L
BARR,JOSEPHINE,,70168,BARR JOSEPHINE
BARRETT,LEE,E,92885,BARRETT LEE E
BARTIS,ANTHONY,,97402,BARTIS ANTHONY
BARTUSKA,FRANCIS,JOHN,98214,BARTUSKA FRANCIS JOHN
BARTZ,CLIFFORD,T,70018,BARTZ CLIFFORD T
BASCOMB JR,WILBUR,,69401,BASCOMB JR WILBUR
BASINGER,SHERMAN,D,58455,BASINGER SHERMAN D
BATTEN JR,J,REED,77503,BATTEN JR J REED
BECK,SHRIVE,,75434,BECK SHRIVE
BEHA JR,WILLIAM,,92479,BEHA JR WILLIAM
BEHREND,HARVEY,E,67370,BEHREND HARVEY E
BELL,HELEN,,62501,BELL HELEN
BELL,JAMES,J,99078,BELL JAMES J
